field_name,code_value,mapped_value
occ_code,755,Extruding and forming machine operators
occ_code,756,Mixing and blending machine operators
occ_code,757,"Separating, filtering & clarifying mach. operators"
occ_code,758,Compressing and compacting machine operators
occ_code,759,Painting and paint spraying machine operators
occ_code,763,"Roasting and baking machine operators, food"
occ_code,764,"Washing, cleaning and pickling machine operators"
occ_code,765,Folding machine operators
occ_code,766,"Furnace, kiln and oven operators"
occ_code,768,Crushing and grinding machine operators
occ_code,769,Slicing and cutting machine operators
occ_code,773,Motion picture projectionists
occ_code,774,Photographic process machine operators
occ_code,777,"Miscellaneous machine operators, n.e.c."
occ_code,779,"Machine operators, not specified"
occ_code,783,Welders and cutters
occ_code,784,Solderers and brazers
occ_code,785,Assemblers
occ_code,786,Hand cutting and trimming occupations
occ_code,787,"Hand molding, casting, and forming occupations"
occ_code,789,"Hand painting, coating and decorating occupations"
occ_code,793,Hand engraving and printing occupations
occ_code,794,Hand grinding and polishing occupations
occ_code,795,Miscellaneous hand working occupations
occ_code,796,"Production inspectors, checkers and examiners"
occ_code,797,Production testers
occ_code,798,Production samplers and weighers
occ_code,799,"Graders and sorters, except agricultural"
occ_code,803,"Supervisors, motor vehicle operators"
occ_code,804,"Truck drivers, heavy"
occ_code,805,"Truck drivers, light"
occ_code,806,Driver-sales workers
occ_code,808,Bus drivers
occ_code,809,Taxi cab drivers and chauffeurs
occ_code,813,Parking lot attendants
occ_code,814,Motor transportation occuputions n.e.c.
occ_code,823,Railroad conductors and yardmasters
occ_code,824,Locomotive operating occupations
occ_code,825,"Railroad brake, signal and switch operators"
occ_code,826,"Rail vehicle operators, n.e.c."
occ_code,828,"Ship captains and mates, except fishing boats"
occ_code,829,Sailors and deckhands
occ_code,833,Marine engineers
occ_code,834,"Bridge, lock and lighthouse tenders"
occ_code,843,"Supervisors, material moving equipment operators"
occ_code,844,Operating engineers
occ_code,845,Longshore equipment operators
occ_code,848,Hoist and winch operators
occ_code,849,Crane and tower operators
occ_code,853,Excavating and loading machine operators
occ_code,855,"Grader, dozer and scraper operators"
occ_code,856,Industrial truck and tractor equipment operators
occ_code,859,Miscellaneous material moving equipment operators
occ_code,863,"Supervisors; handlers,equip-cleaners,laborers nec"
occ_code,864,"Helpers, mechanics and repairers"
occ_code,865,"Helpers, construction trades"
occ_code,866,"Helpers, surveyor"
occ_code,867,"Helpers, extractive occupations"
occ_code,869,Construction laborers
occ_code,873,Production helpers
occ_code,875,Garbage collectors
occ_code,876,Stevedores
occ_code,877,Stock handlers and baggers
occ_code,878,Machine feeders and offbearers
occ_code,883,"Freight, stock and material handlers, n.e.c."
occ_code,885,Garage and service station related occupations
occ_code,887,Vehicle washers and equipment cleaners
occ_code,888,Hand packers and packagers
occ_code,889,"Laborers, except construction"
occ_code,999,Occupation not reported
part_of_body,0,___MISSING___
part_of_body,1,ABDOMEN
part_of_body,2,ARM-MULT
part_of_body,3,BACK
part_of_body,4,BODYSYSTEM
part_of_body,5,CHEST
part_of_body,6,EAR(S)
part_of_body,7,ELBOW(S)
part_of_body,8,EYE(S)
part_of_body,9,FACE
part_of_body,10,FINGER(S)
part_of_body,11,FOOT/ANKLE
part_of_body,12,HAND(S)
part_of_body,13,HEAD
part_of_body,14,HIP(S)
part_of_body,15,KNEE(S)
part_of_body,16,LEGS
part_of_body,17,LOWER ARM
part_of_body,18,LOWER LEG
part_of_body,19,MULTIPLE
part_of_body,20,NECK
part_of_body,21,SHOULDER
part_of_body,22,UPPER ARM
part_of_body,23,UPPER LEG
part_of_body,24,WRIST(S)
part_of_body,25,BLOOD
part_of_body,26,KIDNEY
part_of_body,27,LIVER
part_of_body,28,LUNG
part_of_body,29,NERVE SYST
part_of_body,30,REPROD-SYS
part_of_body,31,OTHBODYSYS
src_of_injury,0,___MISSING___
src_of_injury,1,AIRCRAFT
src_of_injury,2,AIR PRESSURE
src_of_injury,3,ANIMAL/INS/REPT/ETC.
src_of_injury,4,BOAT
src_of_injury,5,BODILY MOTION
src_of_injury,6,BOILER/PRESS VESSEL
src_of_injury,7,"BOXES/BARRELS, ETC."
src_of_injury,8,BUILDINGS/STRUCTURES
src_of_injury,9,CHEM LIQUIDS/VAPORS
src_of_injury,10,CLEANING COMPOUND
src_of_injury,11,COLD (ENVIR/MECH)
src_of_injury,12,DIRT/SAND/STONE
src_of_injury,13,DRUGS/ALCOHOL
src_of_injury,14,DUST/PARTICLES/CHIPS
src_of_injury,15,ELEC APPARAT/WIRING
src_of_injury,16,FIRE/SMOKE
src_of_injury,17,FOOD
src_of_injury,18,FURNITURE/FURNISHING
src_of_injury,19,GASES
src_of_injury,20,GLASS
src_of_injury,21,HAND TOOL (POWERED)
src_of_injury,22,HAND TOOL (MANUAL)
src_of_injury,23,HEAT (ENVIR/MECH)
src_of_injury,24,HOISTING APPARATUS
src_of_injury,25,LADDER
src_of_injury,26,MACHINE
src_of_injury,27,MATERIALS HANDLG EQ.
src_of_injury,28,METAL PRODUCTS
src_of_injury,29,MOTOR VEHICLE (HWY)
src_of_injury,30,MOTOR VEHICLE(INDUS)
src_of_injury,31,MOTORCYCLE
src_of_injury,32,"WIND/LIGHTNING, ETC."
src_of_injury,33,FIREARM
src_of_injury,34,PERN
src_of_injury,35,PETROLEUM PRODUCTS
src_of_injury,36,PUMP/PRIME MOVER
src_of_injury,37,RADIATION
src_of_injury,38,TRAIN/RAILROAD EQUIP
src_of_injury,39,VEGETATION
src_of_injury,40,WASTE PRODUCTS
src_of_injury,41,WATER
src_of_injury,42,WORKING SURFACE
src_of_injury,43,OTHER
src_of_injury,44,FUME
src_of_injury,45,MISTS
src_of_injury,46,VIBRATION
src_of_injury,47,NOISE
src_of_injury,48,BIOLOGICAL AGENT
task_assigned,0,___MISSING___
task_assigned,1,REGULARLY ASSIGNED TASK
task_assigned,2,TASK OTHE THAN REGULARLY ASSIGNED
degree_of_inj,0,___MISSING___
degree_of_inj,1,FATALITY
degree_of_inj,2,HOSPITALIZED
degree_of_inj,3,NON-HOSPITALIZED
sic_code,9999,Nonclassifiable Establishments
sic_code,9721,National Security and International Affairs
sic_code,9711,National Security and International Affairs
sic_code,9661,Administration of Economic Programs
sic_code,9651,Administration of Economic Programs
sic_code,9641,Administration of Economic Programs
sic_code,9631,Administration of Economic Programs
sic_code,9621,Administration of Economic Programs
sic_code,9611,Administration of Economic Programs
sic_code,9532,Administration of Environmental Quality and Housing Programs
sic_code,9531,Administration of Environmental Quality and Housing Programs
sic_code,9512,Administration of Environmental Quality and Housing Programs
sic_code,9511,Administration of Environmental Quality and Housing Programs
sic_code,9451,Administration of Human Resource Programs
sic_code,9441,Administration of Human Resource Programs
sic_code,9431,Administration of Human Resource Programs
sic_code,9411,Administration of Human Resource Programs
sic_code,9311,"Public Finance, Taxation and Monetary Policy"
sic_code,9229,"Justice, Public Order and Safety"
sic_code,9224,"Justice, Public Order and Safety"
sic_code,9223,"Justice, Public Order and Safety"
sic_code,9222,"Justice, Public Order and Safety"
sic_code,9221,"Justice, Public Order and Safety"
sic_code,9211,"Justice, Public Order and Safety"
sic_code,9199,"Executive, Legislative & General Government, Except Finance"
